ssn,cc_num,gender,state,zip,city_pop,job,acct_num,profile,trans_num,trans_time,category,amt,is_fraud,distance_km,age,trans_month,trans_day,is_weekend,trans_time_group
426487527,2238148448827797,0,FL,33709,341043,Science & Environmental Specialists,501569214398,adults 2550 male urban,8692d93f3766ff837976f4e07103cf72,15,home,6.39,0,39.0,23.0,9,11,0,Day
186104384,4188482578602209,1,MI-IN-MN-WI,48072,14970,Education & Research Professionals,252554464624,adults 2550 female urban,124af0434be670515bea46604dd76c31,22,kids_pets,241.83,0,65.0,39.0,9,25,0,Night
112370818,4664301571483552,1,VA-MD,20785,150988,Legal & Policy Professionals,546472399472,adults 2550 female urban,2f7e86065027eeeec424ab246fd37629,18,personal_care,530.05,0,103.0,46.0,11,12,0,Evening
780257533,180081689302414,1,MI-IN-MN-WI,48420,22078,Finance & Banking Professionals,362825145752,adults 50up female urban,5b9295380b49f7444f875ec5c09dddb7,12,health_fitness,1.25,0,44.0,50.0,5,6,0,Day
334940661,4244963797814271,1,TN-KY-AL-LA-MS-AR,35128,20653,Sales & Marketing Professionals,663915975175,adults 2550 female urban,5102b562b2946828003239f6f84f1bd8,16,travel,9.8,0,68.0,31.0,12,23,0,Evening
588745484,3582432565094849,0,AZ-NV-CO-UT,81005,151815,Legal & Policy Professionals,376399158321,adults 50up male urban,94b0fd81ddc2274458cacd7f65d398c1,19,personal_care,51.76,0,69.0,61.0,11,21,1,Evening
184861540,4664115133752,0,Low-Volume Mixed,83716,255947,Media & Creative Professionals,832518396106,adults 2550 male urban,4ba50d072f2c7cb7b9b2ac4c9e559162,17,entertainment,65.88,0,49.0,26.0,4,4,1,Evening
504777030,3567344396636459,1,TN-KY-AL-LA-MS-AR,42462,1319,Media & Creative Professionals,175297952249,adults 2550 female rural,054bd983e062b0deb195a67441bf3007,22,entertainment,13.09,0,43.0,22.0,4,4,1,Night
711755446,2532192811738770,1,GA-NC-SC,30080,75810,Hospitality & Tourism Workers,903801595364,adults 2550 female urban,e11c3884cb9cd27ff10dd2065a3ff50e,23,entertainment,16.47,0,79.0,23.0,2,8,1,Night
655894927,5330944368128574,0,CA,92620,212569,Engineering & Technical Experts,792142900495,young adults male urban,9b71399db06c5165a0bef7c7842da376,20,food_dining,92.28,0,64.0,21.0,5,1,0,Evening
10473638,4492308107993456513,0,TX,77386,316665,Legal & Policy Professionals,414957601008,young adults male urban,b3e8f49f03460a2dce01e8a004e920b1,15,personal_care,17.54,0,49.0,20.0,11,15,1,Day
201880834,180019606488056,1,CA,91202,172817,Miscellaneous & Low-Transaction Trades,726731179557,adults 50up female urban,29778dd512bfc972999f2dd4a7b31f15,0,entertainment,6.0,0,113.0,58.0,1,4,1,Night
793592551,180076706853324,1,PA-NJ,7642,10207,Engineering & Technical Experts,491997743246,adults 50up female urban,3dc3a82cc30807635ce772952ace2f83,23,home,162.16,0,103.0,52.0,8,8,1,Night
343803207,4096677411473722879,1,TN-KY-AL-LA-MS-AR,42539,10026,Legal & Policy Professionals,692904836534,adults 50up female urban,b85fb96488b7d157c16c13cb9f718089,16,personal_care,1.03,0,113.0,78.0,12,9,0,Evening
216504523,6549465920548880,1,Low-Volume Mixed,26851,2180,Miscellaneous & Low-Transaction Trades,532012529843,adults 50up female rural,5332b94cf10eb77662981b33f083fffd,18,kids_pets,31.86,0,85.0,56.0,10,15,0,Evening
552207135,180087640191853,0,MI-IN-MN-WI,55122,753116,Finance & Banking Professionals,347170402655,adults 2550 male urban,0682bcb1cb0043a90f94dcffcf440b09,12,health_fitness,7.86,0,11.0,40.0,7,2,0,Day
332906564,3529137901688404,0,MO-IA-KS,63074,15164,IT & Technology Specialists,842612334996,adults 50up male urban,3a8dcd39f1a21cca01269b77fc57a730,7,entertainment,89.96,0,85.0,85.0,2,5,0,Day
8064642,373822310078908,0,GA-NC-SC,39846,2440,Executive & Senior Management,833530169334,adults 50up male rural,bd8df77696eb0ff30bb803ee774544f2,18,home,45.07,0,85.0,48.0,8,8,1,Evening
569173695,4324982638553818,1,CA,91401,166616,Finance & Banking Professionals,581049961885,adults 50up female urban,9fd15946ed56c5d0c4cbbb657b91574a,17,personal_care,14.89,0,105.0,54.0,12,11,0,Evening
241959759,583626177138,0,GA-NC-SC,27262,116061,Medical & Healthcare Specialists,164883216315,adults 50up male urban,071cb4bd7a4dfbe238f976184bc3ff37,23,kids_pets,54.49,0,71.0,57.0,10,21,0,Night
852140876,2382497304509559,1,Low-Volume Mixed,57430,2243,Executive & Senior Management,232910486534,adults 2550 female rural,c22a45d2be6acc5e288837370c00f5fa,19,food_dining,5.57,0,79.0,45.0,4,10,0,Evening
814164460,3580591168077998,0,MI-IN-MN-WI,53726,272940,Engineering & Technical Experts,967083311476,adults 50up male urban,fe6c4685b46ce8328fe168a936712034,18,personal_care,23.3,0,100.0,59.0,12,12,1,Evening
713329789,6572042405663375,0,IL-OH,44401,2892,Engineering & Technical Experts,646386353365,adults 2550 male urban,6ea83fb6d54228a138a93ed9041e4583,14,entertainment,1.9,0,69.0,25.0,3,24,0,Day
881169514,4687749294499318,1,GA-NC-SC,29036,19140,Finance & Banking Professionals,838417290291,adults 2550 female urban,13297b947e72290df28ca18d1cb367da,19,food_dining,56.13,0,68.0,24.0,4,19,1,Evening
601636610,2277435624190054,1,TX,79201,7040,Medical & Healthcare Specialists,185877630007,adults 50up female urban,e361c4cdc4fd7b1e14b9ebf0ad0f6b21,22,personal_care,58.56,0,110.0,69.0,12,6,1,Night
603833772,3551919147769671,0,FL,34475,207224,Science & Environmental Specialists,118500531557,adults 50up male urban,59ec40c7765a482b8631c5ac53cf19d1,20,kids_pets,4.23,0,91.0,80.0,8,18,0,Evening
122124007,30183483086375,1,PA-NJ,7083,53053,Miscellaneous & Low-Transaction Trades,575061336964,adults 50up female urban,5f7fdfc917d94b4510f98e35e49761e0,23,personal_care,31.6,0,93.0,69.0,12,1,0,Night
139403844,4000956891380807893,1,NY,10474,1382480,Education & Research Professionals,52943450626,adults 50up female urban,4d1f429e563dbf35a5bc5209bc0d7dfb,13,personal_care,35.38,0,80.0,63.0,12,10,0,Day
778215698,2222189462311662,0,NY,10562,31796,Engineering & Technical Experts,382590702789,young adults male urban,a0eed28de746ebb99c17e3aa69876154,20,personal_care,1.01,0,124.0,19.0,12,5,1,Evening
363874332,3533484344375759,0,AZ-NV-CO-UT,85634,6490,Education & Research Professionals,719159529356,adults 50up male urban,10b1b76ad4243ed606498bfab6f9ed3d,23,travel,137.2,0,92.0,48.0,12,22,0,Night
584125959,2225349529908473,0,MI-IN-MN-WI,49080,15802,Education & Research Professionals,437100091511,adults 2550 male urban,152abf1da208823ad833ad7bc08e911a,18,health_fitness,1.86,0,45.0,32.0,6,8,0,Evening
428374260,4418195896675,1,AZ-NV-CO-UT,84115,594043,Miscellaneous & Low-Transaction Trades,708840841630,adults 2550 female urban,56caee14dccf8e84f0cacdf560f39468,22,home,108.94,0,91.0,42.0,8,12,0,Night
662753523,376953302121203,1,AZ-NV-CO-UT,80010,389246,Medical & Healthcare Specialists,974332075992,adults 2550 female urban,86737b33e2087f9f0744eb3a802b5610,15,food_dining,42.48,0,83.0,42.0,5,15,0,Day
27688360,6011242681349074,1,NY,14052,17329,Transportation & Logistics Workers,929751627718,adults 2550 female urban,9c5713674a357f3c5512170f1da1a5f7,15,health_fitness,45.89,0,63.0,45.0,6,12,0,Day
227210880,4634557387421750050,0,CA,91316,41270,Medical & Healthcare Specialists,398946967963,adults 2550 male urban,885ace92f1146bb4e0ebdc59a41ea345,18,health_fitness,29.95,0,134.0,23.0,6,12,0,Evening
602349882,630487927687,0,VA-MD,20171,87123,Media & Creative Professionals,378377868075,adults 2550 male urban,801446ec06fe2052a3c21084dea9bb25,18,kids_pets,5.88,0,83.0,30.0,11,1,1,Evening
438267404,213156485864766,1,FL,32174,61891,Hospitality & Tourism Workers,853537546988,adults 50up female urban,4ae487366a438948003c9a597baa4a88,20,home,9.26,0,29.0,87.0,7,23,0,Evening
522029315,4509077362824282,1,WA-OR,97219,841711,Engineering & Technical Experts,408214311933,adults 2550 female urban,95bc7e82bc1b32634cf1217675478774,18,home,105.55,0,29.0,44.0,7,4,1,Evening
862573162,630432091415,1,MI-IN-MN-WI,48813,21182,Medical & Healthcare Specialists,952863267944,adults 2550 female urban,8937f1f432a6bf030a0bcaab801b09a0,14,health_fitness,39.54,0,116.0,41.0,5,16,1,Day
206289861,3591580712462464,1,NY,11373,100820,Media & Creative Professionals,630126419075,adults 2550 female urban,e3867a821f444310cc34817d409d24fa,14,personal_care,93.54,0,48.0,34.0,12,11,0,Day
690708266,373972188924285,0,FL,32909,104966,Hospitality & Tourism Workers,604976246605,young adults male urban,d18ed7cad99c16a328a62f1324d1f5c9,15,health_fitness,5.94,0,72.0,20.0,6,19,0,Day
400994616,503851496615,1,MO-IA-KS,65806,219752,Medical & Healthcare Specialists,895971375604,adults 50up female urban,45071a1d6bfda991270344fddb2f0203,12,health_fitness,11.09,0,76.0,64.0,6,2,0,Day
454969767,4879164370766716106,1,NY,14211,564824,Medical & Healthcare Specialists,830530126270,adults 2550 female urban,13e3733b1df6d18dd91a7e5d8559e6b8,14,home,150.62,0,84.0,23.0,7,15,0,Day
367503502,3587422434909348,0,Low-Volume Mixed,96712,7352,Medical & Healthcare Specialists,407364574867,adults 2550 male urban,a88d63bea3fd73599579c6cdbd4a48c7,18,personal_care,8.52,0,56.0,46.0,12,19,1,Evening
163220188,4061395882572,0,WA-OR,97306,249657,Engineering & Technical Experts,924853100226,young adults male urban,52b06bd40ec0e5cfe481538afde98a6d,20,home,5.82,0,68.0,12.0,8,20,0,Evening
155462036,30434210843988,0,TN-KY-AL-LA-MS-AR,42262,8396,IT & Technology Specialists,474120510303,adults 50up male urban,a47824045dc826ec92d0dc1c3f3e65eb,23,food_dining,14.48,0,37.0,65.0,4,6,0,Night
776014042,4563521118706,0,MI-IN-MN-WI,47362,30243,Psychology & Social Service Workers,929624735927,adults 50up male urban,e55683eb984aa8648652c2c44a08977c,12,kids_pets,4.81,0,98.0,61.0,9,30,0,Day
524658856,3538257830877669,0,AZ-NV-CO-UT,85086,1312922,Psychology & Social Service Workers,594771878134,adults 2550 male urban,df5d8f931e3c35e7149a1dd41eb90ddb,20,health_fitness,108.11,0,101.0,31.0,6,16,0,Evening
2781813,38790679753113,0,AZ-NV-CO-UT,85712,865276,Media & Creative Professionals,6959612334,adults 50up male urban,fc60f410c3e92acb8fb284b6ccf1d4bc,4,entertainment,109.22,0,84.0,50.0,1,23,0,Day
158034507,4303570063200,0,MO-IA-KS,63640,26335,Science & Environmental Specialists,999480349528,adults 50up male urban,fa6f40c0f92cb4ad6a7e7409908a773b,17,kids_pets,268.77,0,64.0,74.0,8,23,1,Evening
419976174,4044688716202962696,1,PA-NJ,7721,2974,Miscellaneous & Low-Transaction Trades,425198224486,young adults female urban,8719330e1141ef317a7535c6751cea91,14,health_fitness,8.98,0,85.0,21.0,6,16,0,Day
752622975,4540941623648,1,NY,11554,38132,Science & Environmental Specialists,273898901891,adults 2550 female urban,ddb0962a69a28e8ac14b7579b81410e4,21,kids_pets,30.81,0,39.0,27.0,10,6,0,Evening
628175801,4274158287712150069,1,FL,33511,79613,Agriculture & Horticulture Workers,558290478268,adults 50up female urban,826a3f79ce0b4930496975819698167d,23,kids_pets,2.37,0,47.0,72.0,8,22,1,Night
401526825,4566533590665749,0,Low-Volume Mixed,25428,10776,Medical & Healthcare Specialists,32255965110,young adults male urban,874944e78f75b3c6b673e7c5a174d75b,13,travel,7.5,0,99.0,17.0,12,27,1,Day
533173012,4522870095758,0,CA,90274,25209,Legal & Policy Professionals,316822030924,adults 50up male urban,ce09b6f9d7715d1b97df1f020804475d,10,food_dining,7.15,0,64.0,60.0,4,3,0,Day
274211143,501849532228,1,GA-NC-SC,30458,54956,Engineering & Technical Experts,865803387664,young adults female urban,65ebe5aabd62de48794329e4ea5e2a66,14,personal_care,9.77,0,78.0,22.0,12,12,1,Day
845241393,4414055162977298,0,WA-OR,98310,84812,Engineering & Technical Experts,784371186071,adults 2550 male urban,5650416b5a0fd76ed0952521f5c01c01,18,entertainment,30.77,0,131.0,37.0,3,15,1,Evening
401026093,676101849807,1,IL-OH,45233,795220,Miscellaneous & Low-Transaction Trades,140304050339,adults 50up female urban,3818f5eb7e7a3112eefe85f7cd963856,20,home,164.85,0,112.0,51.0,6,7,1,Evening
423599734,4189166807310017970,0,CA,92314,10162,Engineering & Technical Experts,182586042489,adults 2550 male urban,9de821b65b7394d5246afb50f91a58cd,19,personal_care,25.53,0,76.0,46.0,11,27,0,Evening
218238997,3573702395698451,1,IL-OH,45238,795220,Medical & Healthcare Specialists,951655924440,adults 50up female urban,c7386582cb91de46d342f5d281a15e9d,16,personal_care,26.51,0,101.0,60.0,11,10,0,Evening
235659953,4128110180135,1,IL-OH,44442,4006,Miscellaneous & Low-Transaction Trades,323185536226,adults 2550 female urban,ad755a344c0f60587a410ecf1ccdd8ce,22,food_dining,16.16,0,76.0,31.0,4,1,0,Night
399479423,4277049778391974,1,TX,77036,2906700,Medical & Healthcare Specialists,519591478614,adults 2550 female urban,a1445a83746e38a943d5e0d4976f1ef4,18,kids_pets,82.82,0,62.0,31.0,9,30,0,Evening
775900836,30280501210860,0,CA,92801,354475,Transportation & Logistics Workers,757773995586,adults 2550 male urban,1d1d86fc3538c13f3af5d312872e25dd,17,home,6.61,0,79.0,23.0,9,8,0,Evening
368037131,38384106234010,1,CA,92553,193933,Engineering & Technical Experts,641916561482,adults 2550 female urban,0b10c5b9aa6779f8bc1f6835c99801cf,12,home,68.78,0,87.0,42.0,8,2,1,Day
213955286,2235634317191632,0,MI-IN-MN-WI,47460,11471,Media & Creative Professionals,454411028611,adults 50up male urban,3aea1aa70349d6b66d97e71fced6beef,12,travel,103.95,0,30.0,54.0,12,24,0,Day
159889898,30011417119055,0,MI-IN-MN-WI,55350,18280,Legal & Policy Professionals,818581713993,adults 2550 male urban,e44650b5739438bdf9b61c6ddec92534,16,shopping_pos,9.56,0,100.0,31.0,1,19,1,Evening
57944191,4208246332849091802,1,Low-Volume Mixed,83709,255947,Finance & Banking Professionals,564644354506,adults 50up female urban,f13001050a29d5720c7f09e683545241,8,food_dining,71.16,0,105.0,57.0,2,19,0,Day
441396052,588544899473,1,CA,93646,10557,Education & Research Professionals,112291351185,adults 2550 female urban,64d75eadfa6d541aef52979bdabf78eb,23,entertainment,505.53,0,99.0,44.0,1,22,0,Night
99199308,3528388636660751,1,AZ-NV-CO-UT,89101,1417793,Miscellaneous & Low-Transaction Trades,372109014652,adults 2550 female urban,f87601fd5c166c4d1165de3b8e02cc01,14,kids_pets,63.2,0,85.0,25.0,11,7,1,Day
109035145,30562980745429,1,GA-NC-SC,29574,11909,Executive & Senior Management,69821229508,adults 2550 female urban,b78501d00a24125e99370db3a94d77dc,23,kids_pets,3.01,0,33.0,29.0,11,7,1,Night
278336885,30456295471492,0,MI-IN-MN-WI,53121,19045,Miscellaneous & Low-Transaction Trades,237546670147,adults 50up male urban,031bd3ac0f33ddf3eb6804e3c91d477c,2,entertainment,7.67,0,81.0,66.0,1,2,0,Night
195574899,3553263018564871,0,Low-Volume Mixed,68007,7612,Legal & Policy Professionals,167770412580,adults 50up male urban,85c5797b60f0c56fb0059721f27b164c,5,entertainment,4.21,0,113.0,71.0,1,19,1,Day
529447448,4528261308393989725,0,IL-OH,44129,769341,Media & Creative Professionals,126455836874,adults 2550 male urban,888fdf6e1a225ddd6477ebe36fb49e4d,13,food_dining,76.78,0,118.0,26.0,5,15,0,Day
175721342,2288380283593262,1,GA-NC-SC,30295,4159,Medical & Healthcare Specialists,377345191178,adults 2550 female urban,c59fd16483ad6fda0bed612df403a121,23,personal_care,254.57,0,110.0,35.0,11,28,1,Night
773479442,213120823680052,0,NY,11780,15524,Engineering & Technical Experts,842580226350,young adults male urban,78a4d87bf03e2506805ec931c4a6206d,22,home,6.4,0,89.0,20.0,8,9,1,Night
516688816,3521007204094717,0,WA-OR,98501,167094,Medical & Healthcare Specialists,530036995599,adults 2550 male urban,3e9bb5ada633ac14124d0060061ad864,21,entertainment,30.79,0,89.0,22.0,4,2,0,Evening
117060900,3549373373516361,1,MO-IA-KS,65536,28874,Engineering & Technical Experts,264399850879,adults 2550 female urban,e202ff5672245ea5c98407381a799ba2,18,entertainment,25.76,0,105.0,38.0,2,13,0,Evening
530699905,4437518669403,1,TN-KY-AL-LA-MS-AR,72007,6708,Sales & Marketing Professionals,293989509811,young adults female urban,4e6bc931095d7167a9cc0647c88c8e67,13,health_fitness,8.21,0,88.0,21.0,7,19,1,Day
522567706,630445063146,0,MO-IA-KS,50428,9384,Legal & Policy Professionals,505838677946,adults 2550 male urban,7e35c59384f18830e5c691f0dee268ce,16,home,2.02,0,78.0,26.0,7,28,0,Evening
729579191,3580577770786613,0,NY,14619,478127,Education & Research Professionals,172885609943,adults 50up male urban,e7c44b5ca996e8c29a091ab99bd34809,15,travel,14.47,0,70.0,54.0,12,15,0,Day
497780492,4666369472810,0,MO-IA-KS,65807,219752,Hospitality & Tourism Workers,34330422579,adults 2550 male urban,cff258db569942c0a07e879fd5c9c75d,19,kids_pets,7.38,0,36.0,30.0,10,19,0,Evening
731341693,30376591538200,1,FL,32819,878243,Education & Research Professionals,978700659687,young adults female urban,e5679a0a57b14ab3711efdc1788fc780,14,personal_care,6.38,0,44.0,17.0,12,4,0,Day
486402203,4513609085818102,0,CA,94539,214112,Media & Creative Professionals,225469416426,adults 50up male urban,375726ea57fe13f1a1e93a8cc2d40365,9,entertainment,35.05,0,107.0,83.0,1,27,0,Day
233278032,344284925693496,1,IL-OH,44612,5293,Finance & Banking Professionals,544554863161,adults 2550 female urban,fae4f24c6d30e8f3d6b64c8d0cdac3fe,13,kids_pets,46.39,0,73.0,26.0,9,25,0,Day
332887150,180077562691428,0,MI-IN-MN-WI,55811,116688,Miscellaneous & Low-Transaction Trades,900791915725,adults 2550 male urban,d7c0f0fe527bedbfcee819b2889f896c,15,food_dining,4.02,0,76.0,45.0,5,30,1,Day
524063786,5570019302091839,0,TN-KY-AL-LA-MS-AR,39466,27738,Engineering & Technical Experts,542500177210,adults 50up male urban,0100a9f990abcbff8cefe2c6883bff49,14,personal_care,161.99,0,18.0,64.0,10,27,0,Day
394914071,6011802807144616,0,MI-IN-MN-WI,48238,673342,Psychology & Social Service Workers,708174780630,young adults male urban,b255f0f5d5f1eee8a3002af2d9ab5088,16,personal_care,5.38,0,132.0,21.0,12,9,0,Evening
409696839,676182908282,0,FL,34609,115476,Medical & Healthcare Specialists,752857731849,adults 2550 male urban,4ce7ce88f5b4b103a0d9c24d5be0cce4,16,travel,142.23,0,53.0,32.0,12,26,1,Evening
386803427,5551004091650485,1,IL-OH,45415,479994,Legal & Policy Professionals,233988986090,adults 50up female urban,2381e0649e466d2e0b19eda5eceb673c,13,kids_pets,3.86,0,99.0,62.0,9,18,0,Day
639131254,4734778485880062,0,GA-NC-SC,27713,256789,Engineering & Technical Experts,787321019258,adults 50up male urban,c0b383b16042795249fc9eb509e7c338,18,travel,5.24,0,90.0,,12,17,0,Evening
514284415,3582106985278774,1,MI-IN-MN-WI,46582,33716,Psychology & Social Service Workers,341537672285,adults 2550 female urban,e257921b5ce8ba7428beaffa6e0176da,19,personal_care,9.05,0,22.0,29.0,12,6,1,Evening
447269823,3568362989917507,1,MI-IN-MN-WI,49037,92270,IT & Technology Specialists,802957808566,adults 50up female urban,67991a6dc61009f22d6a7f631c7f9470,3,food_dining,67.31,0,49.0,64.0,3,14,1,Night
554990315,4497231198071383506,1,MI-IN-MN-WI,46239,910148,Education & Research Professionals,754455349395,adults 50up female urban,1c8cd7b8bcf915945f0d5a7be03f7187,20,personal_care,97.01,0,89.0,49.0,11,9,0,Evening
696569042,378843475850803,1,CA,94954,70223,Miscellaneous & Low-Transaction Trades,779086053923,adults 2550 female urban,d02b365f1493ac1f6d5769922ff39583,23,kids_pets,4.84,0,105.0,23.0,11,7,1,Night
55776759,348055893409560,1,CA,94523,33569,Hospitality & Tourism Workers,966854655086,adults 50up female urban,f27f7c7a7d37365ef5fedfe7513e550b,13,home,7.99,0,41.0,72.0,8,2,1,Day
871335601,3543438250086998,1,CA,95758,162646,Sales & Marketing Professionals,208492305511,adults 50up female urban,b4844ed96c10a152c36515b26ac46bf7,8,entertainment,158.85,0,15.0,82.0,2,9,1,Day
716330058,4319931167332036160,0,Low-Volume Mixed,68137,518429,Science & Environmental Specialists,230148366757,young adults male urban,064af815676cced0da1fd123e178227b,18,shopping_pos,50.1,0,100.0,19.0,1,10,0,Evening
830594410,6011597692465841,1,TN-KY-AL-LA-MS-AR,36108,214703,Miscellaneous & Low-Transaction Trades,263138337400,young adults female urban,633d738b6b2c1321025e0ea9762f70f0,21,home,122.08,0,82.0,18.0,8,24,0,Evening
214797366,4135878254234270,1,MO-IA-KS,67669,1725,Transportation & Logistics Workers,688017733134,adults 50up female rural,6cab8ae6e1c0217757fef23720d3c863,22,health_fitness,31.08,0,102.0,50.0,6,6,1,Night
710154009,4894684019400458,1,CA,95660,30714,Media & Creative Professionals,193712931473,adults 2550 female urban,69d2cd8ae8f70c4f71580e035c592963,21,kids_pets,2.65,0,52.0,24.0,10,4,1,Evening
7738105,4325675543302671185,1,PA-NJ,8527,54392,Medical & Healthcare Specialists,283441365647,adults 2550 female urban,625964b5228ba9a9b52a0001600ed3ee,22,home,27.3,0,77.0,35.0,7,12,1,Night
163562796,3515909232107924,1,TN-KY-AL-LA-MS-AR,38017,48642,Finance & Banking Professionals,411571001746,adults 50up female urban,a50302043b03facbe471cc752ff0c601,13,home,2.03,0,95.0,47.0,7,4,1,Day
729017547,4963944627508878,1,CA,91605,155954,Miscellaneous & Low-Transaction Trades,911854920786,adults 2550 female urban,5f597f4911aa383525907f73a3c1775e,18,home,131.89,0,24.0,38.0,7,8,0,Evening
152163032,4790656709306398,1,IL-OH,45694,12147,Transportation & Logistics Workers,962182620117,adults 50up female urban,35006169284dcb499d9d22d94963dfcf,14,travel,4.39,0,88.0,66.0,12,25,0,Day
584041222,6011115360964399,1,IL-OH,43110,33847,Media & Creative Professionals,36138083099,adults 50up female urban,989c74870f60d0f9c5f2b4359903bba2,22,other,1130.28,1,82.0,71.0,6,10,0,Night
805102209,30568759945397,0,New England High,1749,19063,Finance & Banking Professionals,183867788534,adults 2550 male urban,87aa97dc554f0dfc3d1d0cc0e419614a,12,kids_pets,33.55,0,30.0,46.0,11,12,0,Day
462507261,4018821520291,1,CA,93030,211523,Media & Creative Professionals,216086965853,adults 50up female urban,3eea52c0230e41fcc4f720c178de7cba,16,kids_pets,55.11,0,39.0,84.0,8,30,1,Evening
697193353,4295667281523094,1,New England High,6070,15104,Hospitality & Tourism Workers,878069800934,adults 50up female urban,9ded1a5e4cbb045826a487fd0f583d85,14,travel,4.38,0,47.0,73.0,12,27,1,Day
890953199,4350334607496875745,1,IL-OH,44515,163222,Media & Creative Professionals,599191332284,adults 50up female urban,ff473b16dbc2703f1a3bb27ccb15b458,22,health_fitness,6.17,0,109.0,70.0,5,10,1,Night
640391240,3527824897139771,0,TN-KY-AL-LA-MS-AR,41001,16412,Medical & Healthcare Specialists,581851058999,adults 2550 male urban,8394fba217c6d14b97201c1cbe8fbdfe,12,home,2.69,0,28.0,35.0,8,3,0,Day
629470670,3523594021698067,0,WA-OR,98030,147876,Sales & Marketing Professionals,539729262812,adults 2550 male urban,be290a6492c229efe00c8136e9ffd73a,16,food_dining,5.09,0,93.0,25.0,5,16,1,Evening
118602691,4236263727243745,1,GA-NC-SC,30075,95251,Education & Research Professionals,502561029527,adults 2550 female urban,a41ee70656845cc9f2643717878e8f3f,19,home,615.08,0,78.0,34.0,7,2,0,Evening
585831325,4450323124891427420,0,CA,95126,973849,Medical & Healthcare Specialists,531734896328,adults 2550 male urban,82734139ee868d35d83ecf23fd462f6b,22,health_fitness,94.82,0,104.0,22.0,7,16,0,Night
