ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile
552-96-8948|3573467065627293|Joseph|Meadows|M|62720 Gray Forest|Glendale|AZ|85305|33.5291|-112.2482|280389|Programme researcher, broadcasting/film/video|1990-04-04|370770979513|adults_2550_male_urban.json
285-97-6907|4708053100330923275|Maureen|Elliott|F|4529 Kimberly Estates|Cleveland|OH|44115|41.4946|-81.667|769341|Insurance risk surveyor|1943-11-24|636119440405|adults_50up_female_urban.json
320-74-6150|6011193149190586|Jeffrey|Wood|M|67165 Zimmerman Mews Apt. 849|Temple|GA|30179|33.7677|-85.0133|16807|Solicitor|1991-11-15|531608037091|adults_2550_male_urban.json
447-94-9708|4314737996507527356|Robert|Peterson|M|083 John Lodge Suite 837|Broken Bow|OK|74728|34.027|-94.7623|11343|Recycling officer|1978-10-26|869508288813|adults_2550_male_urban.json
096-38-3631|6011495788568554|Michael|Nelson|M|13518 James Streets Suite 498|Chester|VA|23836|37.3475|-77.3386|44523|Therapist, speech and language|1965-08-02|915259790398|adults_50up_male_urban.json
304-30-5913|4082400842710944|Julie|Alexander|F|47116 Jones Roads|Euclid|OH|44123|41.6025|-81.5258|41932|Astronomer|1992-08-09|163860419795|adults_2550_female_urban.json
312-11-4067|2706999386774968|Elizabeth|Oliver|F|34123 Andrea Estate|Terre Haute|IN|47809|39.471|-87.4111|95238|Accountant, chartered|1970-02-24|495675808653|adults_50up_female_urban.json
609-61-4772|564471349360|Brian|Walker|M|2102 Larson Views|Rossford|OH|43460|41.6049|-83.5638|6289|Teacher, adult education|2006-06-16|317489104406|young_adults_male_urban.json
128-60-4983|3548877190659403|Anna|Hayden|F|490 Thomas Run|Brazil|IN|47834|39.521|-87.1278|19215|Private music teacher|1987-12-10|308877180672|adults_2550_female_urban.json
600-56-8057|2556551256746807|Jordan|Edwards|F|68087 Brown Path Suite 977|Kwethluk|AK|99621|60.3147|-163.1189|723|Arts development officer|1994-03-05|292932052116|adults_2550_female_rural.json
135-37-7179|3510932480861310|Joel|Wilson|M|4846 Baird Gardens|Wymore|NE|68466|40.113|-96.6613|1861|Programmer, multimedia|1987-09-08|161281455424|adults_2550_male_rural.json
196-77-8328|3514658404499723|Jill|Washington|F|867 Kane Square Apt. 963|Greenville|SC|29607|34.8285|-82.3516|201862|Paediatric nurse|1961-01-19|348079814698|adults_50up_female_urban.json
723-49-6326|4702895171870260|Seth|Booker|M|4596 Melissa Walk|Portland|OR|97211|45.5653|-122.6448|841711|Social research officer, government|1992-02-03|688554816658|adults_2550_male_urban.json
894-70-0589|3534316117240050|Robert|Carter|M|2386 George Common Suite 937|Los Angeles|CA|90007|34.0294|-118.2871|2383912|Television production assistant|1982-08-08|254017756402|adults_2550_male_urban.json
654-33-7530|4748217594647436717|David|Armstrong|M|406 Smith Way Apt. 974|Las Vegas|NV|89128|36.1968|-115.2644|1417793|Event organiser|1961-09-09|883075619976|adults_50up_male_urban.json
225-82-3116|3521047095214560|Casey|Anderson|F|842 Sloan Orchard Suite 517|Rutherford|NJ|07070|40.8292|-74.1121|18061|Call centre manager|1958-12-27|829533234908|adults_50up_female_urban.json
881-87-6512|180016048175499|James|Little|M|37098 Herman Forges Apt. 746|Tucson|AZ|85743|32.3366|-111.1771|865276|Commercial horticulturist|1982-09-04|47844977968|adults_2550_male_urban.json
312-64-1903|2248267586926175|Lisa|Crosby|F|53773 Garcia Spur Suite 850|Spring Hill|FL|34609|28.4794|-82.5083|115476|Occupational therapist|2004-04-07|207343331995|young_adults_female_urban.json
869-59-1502|4900532931839331|Gary|Hernandez|M|2284 Daniel Way|Peoria|AZ|85381|33.6048|-112.2237|158093|Agricultural engineer|1981-02-27|13450992449|adults_2550_male_urban.json
809-31-9648|342402681177585|Linda|Hayes|F|084 Schneider Burgs|Liberty|SC|29657|34.7872|-82.6974|15116|Biochemist, clinical|1962-03-10|528274907582|adults_50up_female_urban.json
437-88-1769|38115921249985|Michael|James|M|8961 Melissa Run Apt. 673|Chinle|AZ|86503|36.1304|-109.6037|10714|Patent attorney|1946-08-31|907693799652|adults_50up_male_urban.json
409-54-1558|375452711116152|Robert|Hawkins|M|165 Parrish Stravenue Apt. 494|Sterling|UT|84665|39.1335|-111.7409|528|Management consultant|1992-06-06|631805153549|adults_2550_male_rural.json
218-20-7901|4585149368991|Michael|Hawkins|M|24455 Howard Divide Suite 120|Sacramento|CA|95835|38.6626|-121.4834|757530|Chemist, analytical|1952-04-06|583025110578|adults_50up_male_urban.json
386-54-7433|345459910229014|Dillon|Stanley|M|764 Kari Crescent Suite 614|Tracy|MN|56175|44.2342|-95.6213|3085|Therapist, horticultural|1999-04-27|577615689420|young_adults_male_urban.json
316-06-3613|6011034324451072|Nicole|Thompson|F|388 Jones Wall Apt. 607|Pennsauken|NJ|08110|39.9723|-75.0607|19008|Careers adviser|1955-09-12|347300118003|adults_50up_female_urban.json
440-74-6627|3541605297516136|Jeffrey|Morales|M|4535 Charles Roads|Akron|OH|44312|41.0334|-81.4385|272134|Clothing/textile technologist|1971-08-04|560624678846|adults_50up_male_urban.json
795-45-5753|3531243292127790|Olivia|Cole|F|527 Taylor Roads Suite 490|Lehigh Acres|FL|33971|26.6388|-81.6992|84918|Management consultant|1945-08-06|79488406665|adults_50up_female_urban.json
473-58-0617|584119986795|Kristen|Conner|F|9359 Mason Circle|Nashville|TN|37206|36.1798|-86.7411|431336|Production designer, theatre/television/film|1987-07-24|889502767451|adults_2550_female_urban.json
732-11-8267|4037788925546656|Meghan|Williams|F|51864 Cummings Shoals Apt. 519|Glendale|AZ|85310|33.7047|-112.1641|280389|Counsellor|1966-09-08|386189485379|adults_50up_female_urban.json
672-90-6422|4486528168505423|Tiffany|Peterson|F|32214 William Plains Apt. 592|Everett|MA|02149|42.4112|-71.0514|41550|Therapist, speech and language|1970-07-22|169121724065|adults_50up_female_urban.json
186-89-2713|3506537947383471|Stephanie|Lee|F|4688 Burch Viaduct Apt. 924|Maplewood|NJ|07040|40.7279|-74.2656|23876|Associate Professor|1983-07-09|531034820387|adults_2550_female_urban.json
568-14-8453|2261247826137504|Jason|Sanders|M|61530 Galvan Villages Suite 220|Manassa|CO|81141|37.1755|-105.9278|1318|Historic buildings inspector/conservation officer|1978-08-18|914473253283|adults_2550_male_rural.json
713-18-7686|30010432898610|Paula|Young|F|36971 Mary Parks|Plymouth|MA|02360|41.9104|-70.642|56271|Therapist, speech and language|1931-01-28|19482202674|adults_50up_female_urban.json
528-74-3964|3546095396218518|Tiffany|Stephens|F|7065 Burgess Knolls|East Northport|NY|11731|40.857|-73.3146|30184|Broadcast journalist|1968-07-02|263473920508|adults_50up_female_urban.json
644-14-9534|3520585277221706|Edward|Williams|M|54868 King Terrace|Phoenix|AZ|85040|33.4061|-112.0265|1312922|Engineer, aeronautical|1964-05-11|392070860877|adults_50up_male_urban.json
887-84-5439|4566765277584161694|Whitney|White|F|1154 Griffin Stravenue Suite 275|Hot Springs National Park|AR|71913|34.4689|-93.043|72927|Product manager|1953-08-17|799045831074|adults_50up_female_urban.json
630-56-4499|4165820297021358|Jack|Herring|M|275 Wallace Club|Akron|OH|44321|41.1002|-81.6443|272134|Teacher, secondary school|1965-12-30|580411980930|adults_50up_male_urban.json
408-41-4567|4027868144733|Whitney|Mitchell|F|12172 Osborn Valleys Suite 518|Miami|FL|33147|25.8507|-80.2366|1737737|Special effects artist|1969-06-26|980499639968|adults_50up_female_urban.json
872-21-2853|341323705895781|Carlos|Henson|M|6786 Morrow Cliffs|Logan|UT|84321|41.747|-111.8226|64183|Comptroller|1972-03-16|352068690122|adults_50up_male_urban.json
076-58-7633|4289226801824223|Frank|Fletcher|M|414 Cynthia Plaza Suite 249|North Vernon|IN|47265|39.0018|-85.6272|20911|Social research officer, government|1991-11-08|550157085827|adults_2550_male_urban.json
173-76-9514|4995900109439695|Margaret|Jimenez|F|473 Evans Cliffs Apt. 276|Springfield|MA|01128|42.0944|-72.4889|144116|Radio broadcast assistant|1970-10-22|225333063288|adults_50up_female_urban.json
622-19-5122|3556258815371477|David|Davis|M|9632 Peck Stravenue Suite 327|Lancaster|TX|75146|32.5914|-96.7728|38269|Scientist, biomedical|1969-07-29|547465802270|adults_50up_male_urban.json
510-03-1476|6533950047974802|Sarah|Jordan|F|565 Richard Port Apt. 584|New Berlin|WI|53151|42.9822|-88.0946|39445|Buyer, retail|1948-07-01|555710136742|adults_50up_female_urban.json
783-71-4583|3521655852398689|Amanda|Williams|F|8729 Mark Ridge Suite 269|Grand Rapids|MI|49508|42.8894|-85.6219|375580|Hydrographic surveyor|1986-04-28|371917215429|adults_2550_female_urban.json
849-66-8722|30470551694093|Karen|Coffey|F|097 Alexandria Stravenue|Glen Carbon|IL|62034|38.7609|-89.9706|13819|Water quality scientist|1955-04-05|926744876615|adults_50up_female_urban.json
152-88-3969|676213075622|Jason|Harris|M|028 Ann Shore Suite 865|Garfield|NJ|07026|40.8789|-74.1081|30555|Early years teacher|1969-12-07|375951918053|adults_50up_male_urban.json
363-87-4332|3533484344375759|Justin|Michael|M|1986 Cardenas Trail Apt. 404|Sells|AZ|85634|32.0315|-112.0065|6490|Careers information officer|1972-08-02|719159529356|adults_50up_male_urban.json
766-62-3506|4842199330839|Mark|Williams|M|7120 Richard Wells Suite 734|Philadelphia|PA|19119|40.0547|-75.1866|1526206|IT sales professional|1970-09-21|709895453406|adults_50up_male_urban.json
788-12-9407|4262067240046|Laura|Rodriguez|F|7887 Melissa Mountain Suite 315|Reno|NV|89502|39.4972|-119.7764|276896|Designer, textile|1979-01-05|505651306822|adults_2550_female_urban.json
264-92-3051|060454932967|Ronald|Robertson|M|1227 Boyle Avenue|Palm Coast|FL|32164|29.4861|-81.2045|79437|Games developer|1975-01-21|259345477235|adults_2550_male_urban.json
772-35-5401|4453017426841459337|Tyler|Mendoza|M|956 Todd Unions Apt. 391|Westchester|IL|60154|41.8524|-87.8845|16773|Secondary school teacher|1940-03-14|581739352909|adults_50up_male_urban.json
371-10-9244|5288398225871391|Katherine|Nolan|F|72867 Angelica Spring Suite 064|San Diego|CA|92115|32.7607|-117.0721|1241364|Accountant, chartered certified|1947-12-12|239426407161|adults_50up_female_urban.json
075-06-6942|348017046226564|Jerry|Stark|M|1825 Gregory Plain Suite 823|Edgemont|SD|57735|43.2874|-103.811|1327|Accountant, chartered certified|1959-09-05|24722602367|adults_50up_male_rural.json
475-87-8921|6533752431069037|Christine|Garcia|F|9030 Gonzales Plains|Palm Springs|CA|92262|33.8414|-116.5347|45562|Engineer, water|1989-02-24|952427834357|adults_2550_female_urban.json
144-65-4740|4995342836449|Amy|Fry|F|687 Teresa Row|Mahopac|NY|10541|41.3717|-73.7508|26339|Museum/gallery curator|1991-12-02|578900622716|adults_2550_female_urban.json
714-54-6689|4628733427086681|Joseph|Price|M|51751 Brett Lane Apt. 139|Manchester|CT|06042|41.7966|-72.5292|58248|Surveyor, land/geomatics|1990-11-05|524918088976|adults_2550_male_urban.json
891-43-4968|563173936383|Frank|Campbell|M|544 Hunt Parks Suite 175|Chicago|IL|60609|41.8097|-87.6533|2680484|Engineer, electronics|1929-02-08|345189549205|adults_50up_male_urban.json
047-73-3626|3504899642353692|Sandra|Porter|F|7772 Jackson Stravenue Suite 280|Arlington|TX|76002|32.6255|-97.0784|370281|Scientist, research (physical sciences)|2000-01-31|919268273279|young_adults_female_urban.json
838-86-0795|630423120389|Jesus|Brown|M|700 Smith Pines Suite 840|Cleburne|TX|76033|32.3509|-97.4103|42578|Retail buyer|1957-07-12|767996662339|adults_50up_male_urban.json
441-23-1754|2623398454615676|Karl|Branch|M|1016 Bennett Mountains|Baton Rouge|LA|70809|30.4089|-91.0842|378909|Banker|1965-12-07|11324746755|adults_50up_male_urban.json
176-11-8190|6591803397401489|Justin|Johnson|M|39261 Martin Garden Suite 856|Decatur|GA|30033|33.8123|-84.2819|167967|Counselling psychologist|1967-11-30|797529515996|adults_50up_male_urban.json
513-96-5667|502063159995|James|Ayala|M|477 Michael Lane|Houston|TX|77093|29.8617|-95.3403|2906700|Podiatrist|1999-09-01|748122047461|young_adults_male_urban.json
677-49-1405|3531142626551107|Tommy|Wallace|M|21267 Garcia Corners Suite 819|Columbus|OH|43230|40.0347|-82.8726|783285|Therapist, sports|1965-12-08|359851424229|adults_50up_male_urban.json
013-38-6780|6011839826224441|Katherine|Brown|F|6471 King Gateway Suite 993|Norfolk|VA|23513|36.8914|-76.2396|242803|Programmer, systems|2004-02-08|146488330909|young_adults_female_urban.json
007-51-5444|3557569245937524|Vincent|Novak|M|793 Bennett Viaduct Suite 519|Nesbit|MS|38651|34.8992|-90.0122|7103|Engineer, communications|1988-05-14|199911954718|adults_2550_male_urban.json
787-71-0441|3537416724342666|Benjamin|Ewing|M|688 Stephens Turnpike Suite 891|Bismarck|ND|58503|46.8394|-100.7843|78133|Clinical embryologist|1937-03-13|273885572142|adults_50up_male_urban.json
681-46-2726|4965610143888999|Connie|Brooks|F|982 Cuevas Orchard Apt. 461|Newtonville|MA|02460|42.352|-71.2084|8742|Commercial art gallery manager|1951-05-17|157754796139|adults_50up_female_urban.json
320-44-7461|4571775140102|Samuel|Wong|M|382 Mark Meadow|Orlando|FL|32837|28.3949|-81.4179|878243|Psychologist, counselling|1987-11-07|877169140360|adults_2550_male_urban.json
645-24-3054|4609379660334199|Ashley|Wiggins|F|5371 Lambert Overpass|Chesapeake|VA|23320|36.7352|-76.2384|222272|Secretary, company|1973-10-12|704228248578|adults_50up_female_urban.json
612-50-6432|3555792499125131|Elizabeth|White|F|669 Bailey Manors|Portsmouth|VA|23703|36.8695|-76.3869|95535|Electronics engineer|1973-08-30|697874934613|adults_50up_female_urban.json
711-83-2839|213174225790506|John|Lee|M|876 Perry Ville Suite 721|Silvis|IL|61282|41.5007|-90.4126|7809|Systems analyst|1978-04-14|872010906800|adults_2550_male_urban.json
300-05-4504|4279788191480|Samantha|Richardson|F|783 Garcia Village|Lakeside|CA|92040|32.8562|-116.9201|41281|Firefighter|1990-07-03|959056357132|adults_2550_female_urban.json
461-34-5712|2413395962923307|Laura|Patel|F|4494 Derek Terrace|Syracuse|NY|13205|43.0123|-76.1452|229807|Paramedic|1988-02-04|68370591034|adults_2550_female_urban.json
888-84-2079|3532536729466718|Madeline|Beard|F|8457 Murphy Alley|Brandon|FL|33510|27.9551|-82.2966|79613|Chief Financial Officer|1957-06-08|697753726506|adults_50up_female_urban.json
715-46-1038|180036374545891|Bianca|Phelps|F|001 Smith Walks Apt. 770|Fullerton|CA|92833|33.8766|-117.9551|134733|Phytotherapist|1994-08-06|999389892260|adults_2550_female_urban.json
667-39-2605|4541520643611037125|Kevin|Stone|M|05162 Jones Lights Apt. 115|Chattanooga|TN|37405|35.0768|-85.3082|198659|Mental health nurse|1975-06-27|330201333423|adults_2550_male_urban.json
392-97-2182|4189092753269739|Brandon|Garcia|M|656 Moody Gateway|Fort Worth|TX|76116|32.723|-97.4483|813980|Health and safety inspector|1979-08-31|92962937500|adults_2550_male_urban.json
567-77-9831|3504389836403768|Ashley|Porter|F|055 Paul Villages|Onalaska|WA|98570|46.573|-122.7075|3889|Teacher, adult education|1976-06-11|401239553647|adults_2550_female_urban.json
700-23-7718|5191043006848665|Michael|Miller|M|1418 Terri Drives|Edmond|OK|73013|35.6215|-97.4733|116001|Software engineer|1978-08-03|430900111440|adults_2550_male_urban.json
650-98-1084|4303161799042102026|Kathleen|Reed|F|52410 Roman Groves Apt. 491|Arlington Heights|IL|60004|42.112|-87.9792|79890|Research scientist (maths)|1960-12-14|560300808050|adults_50up_female_urban.json
057-64-9288|4241913800030756|Janet|Hernandez|F|635 Robert Stravenue|Gainesville|GA|30507|34.2592|-83.7716|120577|IT consultant|1988-04-02|907403143513|adults_2550_female_urban.json
586-48-1957|213123806174457|Angelica|Bryant|F|49493 Richardson Park Apt. 832|North Royalton|OH|44133|41.3232|-81.7457|30394|Accounting technician|1985-08-25|450681215698|adults_2550_female_urban.json
239-70-5676|4506413836702411|Andrew|Hall|M|571 William Route Suite 199|Anchorage|AK|99504|61.2037|-149.7447|242037|Biomedical engineer|1973-10-24|727717710246|adults_50up_male_urban.json
243-38-4277|375574313291214|Carly|Owens|F|85374 Baker Crest Apt. 249|The Colony|TX|75056|33.094|-96.8836|47852|Architect|1969-06-12|915751541289|adults_50up_female_urban.json
152-12-4067|378044206788319|Joel|Lara|M|00323 Watson Roads|Sealy|TX|77474|29.7826|-96.1592|12782|Chartered accountant|1960-02-25|646746156066|adults_50up_male_urban.json
833-10-0358|2237215107029667|Jon|Reyes|M|53244 Stephenson Bypass Apt. 476|Bates City|MO|64011|39.0219|-94.0798|3106|Statistician|1960-10-21|66481931623|adults_50up_male_urban.json
287-50-2249|6011838065787597|Kathryn|Price|F|59304 Lindsey Mountains|Clearwater|FL|33759|27.975|-82.7019|172247|Senior tax professional/tax inspector|1969-12-26|843348752593|adults_50up_female_urban.json
239-21-1641|4480396522393|Emily|Rojas|F|059 Anna Field Suite 842|Ypsilanti|MI|48197|42.2325|-83.6336|99318|Recycling officer|1932-11-14|98947300855|adults_50up_female_urban.json
239-78-3585|676170593252|Michelle|Sellers|F|02921 Yu Landing Suite 915|Wellesley|MA|02482|42.2945|-71.2992|10306|Immigration officer|1984-11-29|147414458291|adults_2550_female_urban.json
750-56-7983|4289539264422099|James|Gamble|M|95939 Sharon Divide|Oregon City|OR|97045|45.3377|-122.57|51359|Learning disability nurse|1961-05-11|84805603866|adults_50up_male_urban.json
356-41-2751|4570433154100676|Nicholas|Costa|M|6586 Maria Turnpike Apt. 271|Summerville|SC|29483|33.028|-80.1739|111788|Analytical chemist|1950-02-05|22741459331|adults_50up_male_urban.json
268-14-1216|346218159970624|Lawrence|Hamilton|M|53368 Guerrero Hills|San Francisco|CA|94107|37.7621|-122.3971|805301|Field seismologist|1967-11-04|51951563323|adults_50up_male_urban.json
586-71-8044|4506149731032419|Kara|Wilson|F|7418 Lopez Light Suite 270|Bristol|IN|46507|41.7169|-85.8262|9128|General practice doctor|1978-05-14|512989778945|adults_2550_female_urban.json
232-35-9245|503811586935|Juan|Randall|M|793 Evans Locks Apt. 898|San Mateo|CA|94404|37.5538|-122.27|131801|Teacher, music|1972-12-17|161577842715|adults_50up_male_urban.json
776-58-2833|4320616329451163|Justin|Arnold|M|709 Rodriguez Drive Apt. 999|Jewett City|CT|06351|41.6052|-71.9808|16301|Chiropodist|2006-02-03|119936653222|young_adults_male_urban.json
799-13-4688|180064679970242|Jennifer|Montgomery|F|65307 Prince Brooks Suite 444|Lamont|FL|32336|30.2983|-83.9008|1391|Regulatory affairs officer|1944-02-22|768190268997|adults_50up_female_rural.json
101-30-2202|4546913736785082143|Michael|Powell|M|33030 Williams Lake|Bellevue|WA|98007|47.6174|-122.1426|131324|Engineer, civil (contracting)|1962-04-21|404903650217|adults_50up_male_urban.json
518-51-2030|4357972798552411|Dustin|Hughes|M|333 Joseph Lodge|Bozeman|MT|59718|45.6681|-111.2404|58934|Scientific laboratory technician|1983-10-18|949273896633|adults_2550_male_urban.json
010-61-2168|4903494466574378|Elizabeth|Meyer|F|108 Hoffman Ranch Suite 417|Pilot Point|TX|76258|33.371|-96.9446|6659|Bonds trader|1990-03-19|701267155766|adults_2550_female_urban.json
883-36-4279|4328309652074461|Jared|Doyle|M|3875 Bruce Ville|Hortonville|WI|54944|44.3273|-88.6281|8257|Surveyor, insurance|1984-01-23|322900519786|adults_2550_male_urban.json
483-17-4238|3551353465549475|Sarah|Ruiz|F|3816 Gutierrez Ways|South Bend|IN|46615|41.6741|-86.2104|145459|Dentist|1991-04-27|374522422066|adults_2550_female_urban.json
584-59-2347|341752500743293|Phillip|Burns|M|96666 Reyes Camp|Tuscaloosa|AL|35404|33.1826|-87.4827|112654|Social research officer, government|1934-12-03|804015362037|adults_50up_male_urban.json
015-42-8701|4033542168940|Christopher|Colon|M|7898 Hamilton Spur Apt. 575|Tucson|AZ|85746|32.1422|-111.0506|865276|Emergency planning/management officer|1987-09-10|445869180665|adults_2550_male_urban.json
234-29-2150|4982150648900|Kirk|Williams|M|001 Wallace Crossing|Dunnellon|FL|34434|28.9938|-82.4241|34926|Sports development officer|1972-08-25|520776545528|adults_50up_male_urban.json
157-27-0153|4184992618914117392|Curtis|Baker|M|6420 Lozano Spurs|Shreveport|LA|71129|32.4141|-93.8742|228095|Quarry manager|1987-11-18|259117969489|adults_2550_male_urban.json
014-86-1459|2717218114374471|Anthony|Li|M|5561 Melissa Cape|Manchester|NH|03103|42.9656|-71.4493|113733|Acupuncturist|1993-02-04|153983162030|adults_2550_male_urban.json
663-22-5385|379415521667462|Michael|Mendoza|M|212 Tina Vista Apt. 169|Canaan|ME|04924|44.745|-69.5498|2275|Radiation protection practitioner|2003-07-27|626215958920|young_adults_male_rural.json
449-24-6222|342771670145088|Randall|Ray|M|588 Ryan Stream|Vandalia|IL|62471|38.9439|-89.1041|10233|Fish farm manager|1974-01-30|380026994241|adults_2550_male_urban.json
693-83-6306|4028772175354087|Courtney|Schneider|F|17797 Melissa Mission Suite 170|East Bernstadt|KY|40729|37.2488|-84.138|5485|Civil engineer, contracting|1945-08-01|452704326218|adults_50up_female_urban.json
571-71-0003|2720948837550370|Gary|Saunders|M|571 Katherine Forges Apt. 554|Cadiz|KY|42211|36.802|-87.8286|13422|Sports development officer|1937-03-21|410263801993|adults_50up_male_urban.json
109-06-2690|30261493316378|Roger|Lee|M|60917 Barrett Parkways Apt. 708|Brooklyn|NY|11220|40.6412|-74.0133|2504700|Art therapist|1970-11-21|920981907761|adults_50up_male_urban.json
495-66-2904|3521699586693460|Tracey|Waller|F|26984 Joseph Plaza Apt. 339|Pacifica|CA|94044|37.6196|-122.4816|37296|Horticultural therapist|1969-11-28|380906095118|adults_50up_female_urban.json
136-91-2914|180015879968469|Robert|Mills|M|2003 Christensen Estates|Albertville|AL|35950|34.2739|-86.2064|33924|Historic buildings inspector/conservation officer|1929-11-16|277813046063|adults_50up_male_urban.json
860-08-4836|4571983863842|Melissa|Williams|F|6580 Julia Flats Suite 359|Thornton|PA|19373|39.9041|-75.5313|4273|Sports coach|1983-12-24|664596582306|adults_2550_female_urban.json
795-93-3171|4212281606484229407|Gary|Mckinney|M|25909 Henry Ports|College Station|TX|77840|30.6045|-96.3123|105109|Statistician|1969-09-07|78847377226|adults_50up_male_urban.json
539-29-3013|213182688615334|Matthew|Rivera|M|98780 Elizabeth Mission Apt. 993|Allenwood|NJ|08720|40.1389|-74.1122|843|Archaeologist|1998-10-25|973594144668|adults_2550_male_rural.json
391-15-6323|4085887704358112888|Adrienne|Jones|F|613 Lucas Cliffs|Langhorne|PA|19047|40.1813|-74.9104|35056|Designer, exhibition/display|1994-12-02|502613191745|adults_2550_female_urban.json
039-12-1201|503848193465|Jasmine|Mccoy|F|0618 Darlene River Apt. 901|Oroville|CA|95965|39.6054|-121.5751|51027|Materials engineer|1974-04-15|553741748619|adults_2550_female_urban.json
297-88-4938|3547660728326849|Toni|Thomas|F|88210 Ashley Lock Apt. 435|Saint Anthony|ID|83445|43.963|-111.7036|7406|Engineer, mining|1969-08-12|993909782929|adults_50up_female_urban.json
872-66-2334|4394312908781417|Danielle|Gonzalez|F|5231 Harvey Fields Suite 775|Edison|NJ|08817|40.5171|-74.3973|100058|Warehouse manager|1968-12-23|337839646089|adults_50up_female_urban.json
599-20-9267|3556205336452575|Julie|Howard|F|8129 Meagan Walks Apt. 834|Aurora|CO|80014|39.6662|-104.835|389246|Camera operator|1967-08-05|84728646799|adults_50up_female_urban.json
870-65-0512|3593084887256395|Morgan|Carter|F|816 Shaw Shore Apt. 928|Columbia|SC|29229|34.1388|-80.8892|333497|Counselling psychologist|1945-08-19|173715194068|adults_50up_female_urban.json
580-73-2396|3550373145303854|Jasmine|Hardin|F|51844 Nicholas Lane|Burlingame|CA|94010|37.5671|-122.3676|40737|Medical secretary|1974-02-04|719783599768|adults_2550_female_urban.json
530-33-6166|4557790827237|Angela|Schneider|F|22591 Robert Isle|Las Cruces|NM|88011|32.3244|-106.6683|143900|Clothing/textile technologist|1966-08-25|740802473168|adults_50up_female_urban.json
